title,context,question,answer_text,answer_start
Kesultanan Mataram,"Sesudah naik tahta Mas Rangsang bergelar Sultan Agung Prabu Hanyokrokusumo atau lebih dikenal dengan sebutan Sultan Agung. Pada masanya Mataram berekspansi untuk mencari pengaruh di Jawa. Pada puncak kejyaannya, wilayah kekuasaan Mataram mencakup sebagian Pulau Jawa dan Madura (kira-kira gabungan Jawa Tengah, sebagian besar Jawa Barat, DIY, dan Jawa Timur sekarang, dengan pengecualian daerah Blambangan atau yang sekarang adalah wilayah Probolinggo hingga Banyuwangi). Ia memindahkan lokasi kraton ke Karta (Jw. ""kertå"", maka muncul sebutan pula ""Mataram Karta""). Akibat terjadi gesekan dalam penguasaan perdagangan antara Mataram dengan VOC yang berpusat di Batavia, Mataram lalu berkoalisi dengan Kesultanan Banten dan Kesultanan Cirebon dan terlibat dalam beberapa peperangan antara Mataram melawan VOC. Setelah wafat (dimakamkan di Imogiri), ia digantikan oleh putranya yang bergelar Amangkurat (Amangkurat I).",berapakah luas Kesultanan Mataram?,"sebagian Pulau Jawa dan Madura (kira-kira gabungan Jawa Tengah, sebagian besar Jawa Barat, DIY, dan Jawa Timur sekarang, dengan pengecualian daerah Blambangan atau yang sekarang adalah wilayah Probolinggo hingga Banyuwangi)",247
Kota Semarang,"Kota Semarang dipimpin oleh wali kota Hendrar Prihadi, S.E, M.M dan wakil wali kota Ir. Hj. Hevearita Gunaryanti Rahayu. Kota ini terletak sekitar 558km sebelah timur Jakarta, atau 312km sebelah barat Surabaya, atau 621km sebalah barat daya Banjarmasin (via udara).[3] Semarang berbatasan dengan Laut Jawa di sebelah utara, Kabupaten Demak di sebelah timur, Kabupaten Semarang di sebelah selatan, dan Kabupaten Kendal disebelah barat. Kota Semarang memiliki luas wilayah administratif sebesar 373,70 km persegi, sekaligus merupakan administrasi kotamadya terluas di Pulau Jawa.",berapakah luas Semarang ?,"373,70 km persegi",493
Mamamia Show Musim Pertama,Mamamia Show Musim Pertama adalah bagian dari Mamamia Show yang ditayangkan pada musim 2007. Pemenang musim ini adalah Mytha yang mengalahkan Margareth dan Fiersha di babak final.,Siapa juara Mamamia Show pertama ?,Mytha,119
South African Airways,"Tahun 1934, Union Airways dibeli oleh pemerintah Afrika Selatan, dan mengganti namanya dengan South African Airways tanggal 1 Februari. Kota pertama yang dilayani adalah Cape Town, Durban dan Johannesburg. Tahun berikutnya, juga pada 1 Februari, South African Airways mengambil alih South-West African Airways yang sejak 1932 telah menyediakan penerbangan surat udara antara Windhoek dan Kimberley.",Kapan South African Airways didirikan?,1934,6
Tembok Berlin,"Tembok Berlin (German: Berliner Mauer) adalah sebuah tembok pembatas terbuat dari beton yang dibangun oleh Republik Demokratik Jerman (Jerman Timur) yang memisahkan Berlin Barat dan Berlin Timur serta daerah Jerman Timur lainnya sehingga membuat Berlin Barat sebuah enklave[1]. Tembok ini mulai dibangun pada tanggal 13 Agustus 1961. Tembok pembatas ini juga dibarengi dengan pendirian menara penjaga yang dibangun sepanjang tembok ini,[2] juga pendirian sebuah daerah terlarang, yang diisi dengan ranjau anti kendaraan. Blok Timur menyatakan bahwa tembok ini dibangun untuk melindungi para warganya dari elemen-elemen fasis yang dapat memicu gerakan-gerakan besar, sehingga mereka dapat membentuk pemerintahan komunis di Jerman Timur. Meski begitu, dalam praktiknya, ternyata tembok ini digunakan untuk mencegah semakin besar larinya penduduk Berlin Timur ke wilayah Berlin Barat, yang berada dalam wilayah Jerman Barat.",Di mana letak tembok Berlin?,Jerman Timur,135
Gerakan Jogja Independent,"Prinsip dan agenda kepemimpinan yang dirumuskan oleh Gerakan Joint akan menjadi pedoman dan pegangan bagi mereka untuk menyeleksi calon yang hendak disaring. Selain itu, mereka juga telah membentuk tim konvensi sendiri untuk bertugas menyeleksi nama-nama yang layak untuk dijadikan kandidat calon walikota yang akan diusung oleh Joint. Tim komite konvensi tersebut terdiri dari lima orang yang memiliki latar belakang profesi berbeda-beda, mulai dari Busyro Muqoddas yang merupakan seorang praktisi hukum, Bambang Eka Cahya Widodo yang merupakan akademisi sekaligus ahli pemilu, Herry Zudianto yang merupakan mantan Walikota Yogyakarta, Yustina Neni yang merupakan seorang seniman, serta Suparman Marzuki yang merupakan praktisi hukum sebagaimana Busyro Muqoddas. Tim komite konvensi tersebut kemudian mencari anggota tim lainnya yang dapat bergabung secara sukarela untuk menjadi tim seleksi. Mereka yang bergabung akan bertugas untuk menganalisis karakter kepemimpinan beserta visi dan misi para kandidat. Terbentuklah ke-9 tim seleksi yang seluruhnya juga berasal dari latar belakang yang berbeda-beda. Mereka adalah Busyro Muqoddas sebagai ketua tim, Suparman Marzuki seorang spesialis di bidang hukum, Zainal Arifin Mochtar seorang spesialis bidang korupsi, Bobi Setiawan seorang spesialis bidang tata ruang dan lingkungan, Budi Wahyuni seornag spesialis bidang perempuan dan kesehatan, Achmad Nurmandi dan Herry Zudianto seorang pakar bidang anggaran publik dan perbaikan birokrasi, ST Sunardi seorang pakar bidang hubungan luar negeri, politik perkotaan, seni dan politik seni, Robby Kusumahara seorang pakar bidang usaha, dan Edi Suadi Hamis seorang pakar bidang ekonomi.[1]",Siapa ketua Gerakan Jogja Independent?,Busyro Muqoddas,1120
Perfilman Indonesia," Era awal perfilman Indonesia ini diawali dengan berdirinya bioskop pertama di Indonesia pada 5 Desember 1900 di daerah Tanah Abang, Batavia dengan nama Gambar Idoep yang menayangkan berbagai film bisu.",kapan industri perfilman dimulai di Indonesia ?,5 Desember 1900,94
Fotosintesis," Fotosintesis adalah suatu proses biokimia pembentukan zat makanan berbentuk karbohidrat yang dilakukan oleh tumbuhan, terutama tumbuhan yang mengandung zat hijau daun, yaitu klorofil. Selain yang mengandung zat hijau daun, ada juga makhluk hidup yang berfotosintesis yaitu alga, dan beberapa jenis bakteri dengan menggunakan zat hara, karbon dioksida, dan air serta dibutuhkan bantuan energi cahaya matahari.[1]",Apa yang dimaksud dengan proses fotosintesis?,"proses biokimia pembentukan zat makanan berbentuk karbohidrat yang dilakukan oleh tumbuhan, terutama tumbuhan yang mengandung zat hijau daun, yaitu klorofil",27
Love Nikki-Dress Up Queen,"Love Nikki-Dress Up Queen atau dikenal di Indonesia sebagai Love Nikki-Dress Up Fantasy atau menyebut Miracle Nikki, adalah permainan video berbasis ponsel yang dibuat oleh SuZhou Nikki Co. dan diterbitkan oleh Elex Technology. Premis dari permainan ini adalah untuk menata karakter utama Nikki dan menantang NPC dan pemain dalam gaya duel, di mana peserta dengan selera mode terbaik dan pemenang yang paling relevan.",siapakah pencipta game Love Nikki-Dress Up Queen?,SuZhou Nikki Co,173
Laser,"Umumnya laser beroperasi dalam spektrum tampak pada frekuensi sekitar 1014 Hertz-15 Hertz atau ratusan ribu kali frekuensi gelombang mikro. Pada awalnya peralatan penghasil sinar laser masih serba besar dan merepotkan. Selain tidak efisien, ia baru dapat berfungsi pada suhu sangat rendah. Sinar laser yang dihasilkan belum terpancar lurus. Pada kondisi cahaya sangat cerah pun, pancarannya gampang meliuk-liuk mengikuti kepadatan atmosfer. Waktu itu, sebuah pancaran laser dalam jarak 1km, bisa tiba di tujuan akhir pada banyak titik dengan simpangan jarak hingga hitungan meter. jmpl|Peragaan peralatan Laser Helium-Neon di Laboratorium Kastler-Brossel dari Universitas Pierre and Marie Curie. Beberapa kelebihan laser diantaranya adalah kekuatan daya keluarannya yang amat tinggi sangat diminati untuk beberapa applikasinya. Namun laser dengan daya yang rendah sekalipun (beberapa miliwatt) yang digunakan dalam pemancaran, masih dapat membahayakan penglihatan manusia, karena pancaran cahaya laser dapat mengakibatkan mata seseorang yang terkena mengalami kebutaan dalam sesaat atau tetap.",Apakah bahaya cahaya laser pada mata?,dapat mengakibatkan mata seseorang yang terkena mengalami kebutaan dalam sesaat atau tetap,1002
Accel World,"Accel World(アクセル・ワールド,Akuseru Wārudo) adalah sebuah serial novel ringan Jepang yang ditulis oleh Reki Kawahara dan diilustrasikan oleh HiMA. Serial ini mulai diterbitkan sejak Februari 2009. Dua serial manga memulai serialisasi di Dengeki Bunko Magazine sejak Mei 2010. Sebuah adaptasi anime oleh Sunrise tayang di Jepang sejak April hingga September 2012. Dua permainan video dirilis untuk PlayStation Portable dan PlayStation 3 pada 13 September 2012, dan 31 Januari 2013. Sebuah film berjudul Accel World: Infinite Burst dengan cerita asli oleh Reki Kawahara telah diumumkan.",Kapan serial Accel World pertama kali terbit ?,Februari 2009,176
Majapahit,"Kerajaan Majapahit (Javanese: ꦤꦒꦫꦶ​ꦏꦫꦗꦤ꧀​ꦩꦗꦥꦻꦠ꧀; Nagari Karajan Mɔjɔpait, Sanskerta: विल्व तिक्त; Wilwatikta) adalah sebuah kerajaan yang berpusat di Jawa Timur, Indonesia, yang pernah berdiri sekitar tahun 1293 hingga 1500 M. Kerajaan ini mencapai puncak kejayaannya menjadi kemaharajaan raya yang menguasai wilayah yang luas di Nusantara pada masa kekuasaan Hayam Wuruk, yang berkuasa dari tahun 1350 hingga 1389.",Berapa lama Majapahit berkuasa ?,1293 hingga 1500 M,207
Kazakhstan,"Luas Wilayah  :2,717,300 km persegi, 1,049,200 mil persegi Garis Pantai  :0 km, 0 mi Dataran tertinggi  :Hantengri 6,398 m/20,991 ft Dataran terendah  :Vpadina Karagiy 132 m/433 ft di bawah permukaan laut",Berapa luas Kazakhstan?,"2,717,300 km persegi",15
Bakteri,"Bakteri (dari kata Latin bacterium; jamak: bacteria) adalah kelompok organisme yang tidak memiliki membran inti sel.[4] Organisme ini termasuk ke dalam domain prokariota dan berukuran sangat kecil (mikroskopik), serta memiliki peran besar dalam kehidupan di bumi.[4] Beberapa kelompok bakteri dikenal sebagai agen penyebab infeksi dan penyakit, sedangkan kelompok lainnya dapat memberikan manfaat dibidang pangan, pengobatan, dan industri.[5] Struktur sel bakteri relatif sederhana: tanpa nukleus/inti sel, kerangka sel, dan organel-organel lain seperti mitokondria dan kloroplas.[5] Hal inilah yang menjadi dasar perbedaan antara sel prokariot dengan sel eukariot yang lebih kompleks.[6]",Apa definisi dari bakteri ?,kelompok organisme yang tidak memiliki membran inti sel,60
Kekristenan di Indonesia,"Agama Kristen pertama kali datang ke Indonesia pada abad ke-7. Melalui gereja Assiria (Gereja Timur) yakni berdiri di dua tempat yakni, Pancur (Sekarang wilayah dari Deli Serdang) dan Barus (Sekarang wilayah dari: Tapanuli Tengah) di Sumatra (645 M).",kapankah Kristen masuk di Indonesia pertama kali?,abad ke-7,52
Kucing pasir," Kucing pasir, kucing relatif kecil gempal dengan kaki pendek, ekor panjang, dan besar, telinga runcing. Kucing ini panjangnya berkisar 39–57cm (15 sampai 22 in) , ditambah 23 sampai 31 sentimeter (9,1 sampai 12) panjang ekor, dan beratnya 1,4-3,4 kilogram (3,1-7,5lb).[4] Kepala kucing ini terlihat luas, dan telinga begitu lebar bahwa telinga dapat diratakan secara horizontal, atau bahkan menunjuk ke bawah untuk membantu dalam berburu.",Berapa berat kucing pasir dewasa?,"1,4-3,4 kilogram",240
Harry Potter,"Pada tahun 1998, Rowling menjual hak film dari empat buku pertama Harry Potter kepada Warner Bros. dengan harga £1juta ($1.982.900).[136][137] Rowling meminta agar para pemain dalam film Harry Potter haruslah berasal dari Britania, namun tidak menutup kemungkinan pemeran berkebangsaan lainnya juga terlibat, misalnya aktor Irlandia Richard Harris yang memerankan Dumbledore, dan pemeran Perancis dan Eropa Timur dalam film Harry Potter and the Goblet of Fire, yang memang sesuai dengan asal karakter dalam buku.[138] Sejumlah sutradara dipertimbangkan untuk menggarap Harry Potter, termasuk Steven Spielberg, Terry Gilliam, Jonathan Demme, dan Alan Parker. Pada akhirnya, Chris Columbus ditunjuk pada 28 Maret 2000 untuk menyutradarai Harry Potter and the Philosopher's Stone (berjudul ""Harry Potter and the Sorcerer's Stone"" di Amerika Serikat). Penunjukan Columbus ini didasari oleh karya-karya film keluarganya seperti Home Alone dan Mrs. Doubtfire, serta pengalamannya yang terbukti mampu mengarahkan anak-anak saat bermain film.[139] Setelah proses pemilihan pemeran yang panjang, syuting dimulai pada bulan Oktober 2000 di Leavesden Film Studios London, dan produksi berakhir pada bulan Juli 2001.[140][141] Philosopher's Stone dirilis pada tanggal 14 November 2001. Tiga hari setelah rilis film pertama, produksi untuk Harry Potter and the Chamber of Secrets, yang juga disutradarai oleh Columbus, dimulai. Syuting film kedua selesai pada musim panas 2002, filmnya sendiri dirilis pada 15 November 2002.[142] Daniel Radcliffe, Rupert Grint, dan Emma Watson masing-masingnya memerankan Harry Potter, Ron Weasley dan Hermione Granger di keseluruhan film.",Kapan Harry Potter pertama kali tayang ?,14 November 2001,1256
Sejarah Lampung,"Kendatipun Provinsi Lampung sebelum tanggal 18 maret 1964 tersebut secara administratif masih merupakan bagian dari Provinsi Sumatera Selatan, namun daerah ini jauh sebelum Indonesia merdeka memang telah menunjukkan potensi yang sangat besar serta corak warna kebudayaan tersendiri yang dapat menambah khasanah adat budaya di Nusantara yang tercinta ini. Oleh karena itu pada zaman VOC daerah Lampung tidak terlepas dari incaran penjajahan Belanda.",Kapankah Lampung diresmikan menjad Provinsi ?,18 maret 1964,44
Algemeene Middelbare School,"Untuk memberikan akses yang lebih baik kepada kaum pribumi, akhirnya dibuatlah sebuah jalur pendidikan menengah yang baru di Hindia Belanda. Pada tahun 1916 Pemerintah Kolonial Hindia Belanda menerima usul dari sebuah komisi tentang pendidikan Algemeene Middelbareschool (AMS). Pada jalur pendidikan menengah ini ditempuh selama enam tahun dalam dua bagian. Bagian bawahnya disebut Meer Uitgebreid Lager Onderwijs MULO afdeeling der AMS – pendidikan menengah umum bagian pendidikan dasar yang diperluas, kemudian bagian kedua/atas disebut Voorbereidend Hooger Onderwijs afdeeling der Algemeene Middelbare School (VHO AMS) – pendidikan menengah umum bagian persiapan pendidikan tinggi.[1] Tamatan afdeeling VHO ini dapat diterima berdasarkan peraturan di perguruan tinggi di Negeri Belanda.[2]:2",Dimanakah leteak Algemene Middelbare School?,Hindia Belanda,125
Perjanjian Kemitraan Ekonomi Komprehensif Indonesia dan Uni Eropa,"Hubungan Indonesia dengan Uni Eropa secara umum diatur dalam Partnership and Cooperation Agreement yang ditandatangani pada 9 November 2009 dan mulai berlaku sejak 1 Mei 2014.[2] Perjanjian ini memberikan landasan untuk mengadakan dialog politik dan kerja sama sektoral secara teratur dan membawa hubungan bilateral ke tingkat yang lebih tinggi. Dengan status sebagai negara berpendapatan rendah-menengah, Indonesia masih menikmati perlakuan khusus berupa tarif rendah untuk sejumlah produk di bawah skema EU Generalized Scheme of Preferences (Skema Preferensi Umum Uni Eropa). Namun, fasilitas ini akan dihapus jika status Indonesia meningkat dari negara berpendapatan rendah-menengah tersebut. Oleh karena itu, Indonesia harus segera merundingkan sebuah CEPA dengan Uni Eropa.",Kapan Perjanjian Kemitraan Ekonomi Menyeluruh Indonesia dan Uni Eropa ditandatangani?,9 November 2009,124
Adam Smith,"John Adam Smith (), adalah seorang filsuf berkebangsaan Skotlandia yang menjadi pelopor ilmu ekonomi modern. Karyanya yang terkenal adalah buku An Inquiry into the Nature and Causes of the Wealth of Nations (disingkat The Wealth of Nations) adalah buku pertama yang menggambarkan sejarah perkembangan industri dan perdagangan di Eropa serta dasar-dasar perkembangan perdagangan bebas dan kapitalisme. Adam Smith adalah salah satu pelopor sistem ekonomi Kapitalisme. Sistem ekonomi ini muncul pada abad 18 di Eropa Barat dan pada abad 19 mulai terkenal di sana.",Siapakah yang dikenal sebagai bapak ekonomi ?,John Adam Smith,0
Adam Smith,"Adam Smith dikenal luas dengan teori ekonomi '""laissez-faire"" yang mengumumkan perkumpulan di abad 18 Eropa. Smith percaya akan hak untuk memengaruhi kemajuan ekonomi diri sendiri dengan bebas, tanpa dikendalikan oleh perkumpulan dan/atau negara. Teori ini sampai pada proto-industrialisasi di Eropa, dan mengubah mayoritas kawasan Eropa menjadi daerah perdagangan bebas, membuat kemungkinan akan adanya pengusaha. Dia juga dikenal sebagai ""Bapak Ekonomi"" versi barat.",Siapakah yang dikenal dengan bapak ekonomi ?,Adam Smith,0
Mahabharata," Mahabharata (Sanskerta: महाभारत) adalah sebuah karya sastra kuno yang berasal dari India. Secara tradisional, penulis Mahabharata adalah Begawan Byasa atau Vyasa. Buku ini terdiri dari delapan belas kitab, maka dinamakan Astadasaparwa (asta = 8, dasa = 10, parwa = kitab). Namun, ada pula yang meyakini bahwa kisah ini sesungguhnya merupakan kumpulan dari banyak cerita yang semula terpencar-pencar, yang dikumpulkan semenjak abad ke-4 sebelum Masehi.",Darimana karya Mahabharata berasal?,India,84
Sinetron,Sinetron (singkatan dari sinema elektronik) adalah istilah untuk program drama bersambung produksi Indonesia yang disiarkan oleh stasiun televisi di Indonesia.,Apakah yang dimaksud dengan sinetron ?,istilah untuk program drama bersambung produksi Indonesia yang disiarkan oleh stasiun televisi di Indonesia,51
Bodhisatwa,"  Dalam ajaran agama Buddha, seorang Bodhisatwa; Bodhisattva (bahasa Sanskerta) atau Bodhisatta (bahasa Pali) atau Photishat (bahasa Thai: โพธิสัตว์) adalah makhluk yang mendedikasikan dirinya demi kebahagiaan makhluk selain dirinya di alam semesta. Dapat juga diartikan ""calon Buddha"".",Apakah yang dimaksud dengan Bodhisattva Mahasattva?,makhluk yang mendedikasikan dirinya demi kebahagiaan makhluk selain dirinya di alam semesta,157
The Simpsons,The Simpsons adalah serial kartun komedi Amerika Serikat yang diciptakan oleh Matt Groening. Program ini pertama kali mulai ditayangkan sebagai potongan acara Tracey Ullman Show pada tahun 1987.,Kapan serial The Simpsons pertama kali muncul di TV?,1987,189
Konformitas,"Konformitas adalah suatu jenis pengaruh sosial ketika seseorang mengubah sikap dan tingkah laku mereka agar sesuai dengan norma sosial yang ada.[1] Beberapa contoh dari konfomitas adalah ketika menengok orang sakit, orang akan membawakan buah atau makanan lainnya.[2] Ketika hendak mengambil uang di ATM atau menaruh uang di bank, orang akan menunggu giliran dengan mengantri.[2] Kuatnya pengaruh sosial yang ada dalam konformitas dibuktikan secara ilmiah dalam penelitian yang dilakukan oleh Solomon Asch pada tahun 1951.[2] Pada penelitian ini menunjukkan bahwa orang cenderung melakukan konformitas, mengikuti penilaian orang lain karena tekanan kelompok yang dirasakan.[2] Penelitian lain tentang konformitas juga dilakukan oleh Muzafer Sherif pada tahun 1936.",Kapan istilah Konformitas muncul ?,1951,517
D.T. Suzuki,"Selama periode pelatihan di Engaku-ji, Suzuki menjalani kehidupan layaknya seorang biksu. Ia menggambarkan kehidupannya ini dan pengalamannya di Kamakura dalam bukunya Pelatihan Biksu Buddhist Zen – The Training of the Zen Buddhist Monk. Pada tahun 1890, Suzuki diundang oleh Soyen Shaku untuk berkunjung ke America. Suzuki berperan sebagai penerjemah bahasa Inggris dari buku yang ia tulis sendiri (1906). Walaupun sampai dengan saat itu Suzuki telah menterjemahkan beberapa naskah berbahasa Asia kuno kedalam bahasa Inggris (contoh: Kebangkitan Kepercayaan Mahayana – Awakening of Faith in the Mahayana), peran-nya dalam menerjemahkan dan aspek sebagai penulis-bayangan terhadap buku ini merupakan permulaan karier Suzuki sebagai penulis dalam bahasa Inggris.",Kapan Daisetz Teitaro Suzuki mulai menulis buku ?,1890,249
Papua Nugini,"  Seluas 462,840km2 (178,704sqmi), Papua Nugini adalah negara terluas ke-54 di dunia.",Berapa luas wilayah Papua Nugini?,"462,840km",9
Marcomanni,"Setelah menyeberangi Pirenia pada tahun 409, sebuah kelompok Marcomanni, Quadi dan Buri, mendirikan untuk mereka sendiri di provinsi Romawi Gallaecia (modern Galicia dan Portugal) utara, dimana mereka dianggap foederati dan mendirikan Kerajaan Suebi Gallaecia. Disana, Hermerik bersumpah setia kepada kaisar pada tahun 410. Bracara Augusta, kota modern Braga di Portugal, sebelumnya ibukota Gallaecia Romawi, sekarang menjadi ibukota kerajaan Suebik.",Dimanakah letak Provinsi Gallaecia?,Portugal,170
Bank Mandiri Taspen,"Bank Mandiri Taspen (disingkat sebagai Bank Mantap, sebelumnya bernama Bank Sinar Harapan Bali dan Bank Mandiri Taspen Pos) adalah lembaga keuangan berjenis perbankan di Indonesia. Bank ini berpusat di Denpasar, Bali.",dimanakah kantor pusat Sinar Harapan?,"Denpasar, Bali",202
Maulid Nabi Muhammad," Maulid Nabi Muhammad SAW kadang-kadang Maulid Nabi atau Maulud saja (Arab: مولد النبي‎, Mawlid an-Nabī), adalah peringatan hari lahir Nabi Muhammad SAW, yang di Indonesia perayaannya jatuh pada setiap tanggal 12 Rabiul Awal dalam penanggalan Hijriyah. Kata maulid atau milad dalam bahasa Arab berarti hari lahir. Perayaan Maulid Nabi merupakan tradisi yang berkembang di masyarakat Islam jauh setelah Nabi Muhammad SAW wafat. Secara subtansi, peringatan ini adalah ekspresi kegembiraan dan penghormatan kepada Nabi Muhammad.",Kapankah kelahiran nabi Muhammad ?,12 Rabiul Awal,210
Pantai Gading,"Pantai Gading (Côte d'Ivoire) adalah sebuah negara di Afrika Barat yang berbatasan dengan Liberia, Guinea, Mali, Burkina Faso, dan Ghana di sebelah barat, utara dan timur serta dengan Teluk Guinea di sebelah selatan. Sebagai salah satu negara termakmur di wilayah tropis Afrika Barat, perkembangan ekonominya telah dikikis oleh kekacauan politik yang ditimbulkan oleh korupsi dan penolakan reformasi",Dimana letak Pantai Gading?,Afrika Barat,54
Naruto,"Manga Naruto pertama kali diterbitkan di Jepang oleh Shueisha pada tahun 1999 dalam edisi ke-43 majalah Shonen Jump. Di Indonesia, manga ini diterbitkan oleh Elex Media Komputindo. Popularitas dan panjang seri Naruto sendiri (terutama di Jepang) menyaingi Dragon Ball karya Akira Toriyama, sedangkan serial anime Naruto, diproduksi oleh Studio Pierrot dan Aniplex, disiarkan secara perdana di Jepang oleh jaringan TV Tokyo dan juga oleh jaringan televisi satelit khusus anime, seperti Animax dan stasiun televisi lainnya, pada 3 Oktober 2002 sampai sekarang. Seri pertama terdiri atas 9 musim dan berlangsung 220 episode. Musim pertama dari seri kedua mulai ditayangkan pada tanggal 15 Februari 2007. Di Indonesia sendiri, anime Naruto pernah ditayangkan oleh stasiun televisi Trans TV, yang kemudian ditayangkan lebih lanjut oleh GTV dan sempat ditayangkan di Indosiar untuk musim keempat dan kelima sampai Naruto Shippuden musim kelima. Selain serial anime, Studio Pierrot telah mengembangkan delapan film untuk seri dan beberapa original video animation (OVA). Jenis barang dagangan termasuk novel ringan, permainan video dan koleksi kartu yang dikembangkan oleh beberapa perusahaan.",Ada berapa serial Naruto ?,lima,933
Kamen Rider,"Kamen Rider(仮面ライダー,Kamen Raidā), Indonesian: ""Pengendara Bertopeng"", atau juga dikenal di Indonesia sebagai Ksatria Baja, adalah seri tokusatsu dan manga fiksi sains yang diciptakan oleh Shotaro Ishinomori. Seri tokusatsu ini pertama kali ditayangkan mulai tanggal 3 April 1971 sampai 10 Februari 1973 sebanyak 98 episode di Mainichi Broadcasting System dan NET TV (sekarang TV Asahi).",Kapan Kamen Rider pertama diproduksi ?,3 April 1971,265
Charles Babbage,"Charles Babbage () adalah seorang matematikawan asal Inggris yang pertama kali mengemukakan gagasan tentang komputer yang dapat diprogram. Sebagian dari mesin yang dikembangkannya, namun tidak selesai. Sekarang dapat dilihat di Museum Sains London. Pada tahun 1991, dengan menggunakan rencana asli dari Babbage, sebuah mesin diferensial dikembangkan dan mesin ini dapat berfungsi secara sempurna, yang membuktikan bahwa gagasan Babbage tentang mesin ini memang dapat diimplementasikan.",Siapakah yang menciptakan komputer?,Charles Babbage,0
Perhimpunan Bangsa-Bangsa Asia Tenggara,"   jmpl|201x201px|ASEAN Perhimpunan Bangsa-Bangsa Asia Tenggara (Perbara)[1][2] atau lebih populer dengan sebutan Association of Southeast Asian Nations (ASEAN) merupakan sebuah organisasi geo-politik dan ekonomi dari negara-negara di kawasan Asia Tenggara, yang didirikan di Bangkok, 8 Agustus 1967 berdasarkan Deklarasi Bangkok oleh Indonesia, Malaysia, Filipina, Singapura, dan Thailand. Organisasi ini bertujuan untuk meningkatkan pertumbuhan ekonomi, kemajuan sosial, dan pengembangan kebudayaan negara-negara anggotanya, memajukan perdamaian dan stabilitas di tingkat regionalnya, serta meningkatkan kesempatan untuk membahas perbedaan di antara anggotanya dengan damai.",Siapa pendiri ASEAN?,"Indonesia, Malaysia, Filipina, Singapura, dan Thailand",335
MacOS," macOS, atau yang sebelumnya disebut OS X, adalah antarmuka grafikal sistem operasi yang dikembangkan dan disebarkan oleh Apple Inc. Sistem operasi ini disediakan untuk komputer Macintosh. Sistem operasi ini pertama kali dikeluarkan pada tahun 2001 dan populer di kalangan pengguna.",Kapan Mac OS X dirilis ?,2001,244
Daftar kecamatan dan kelurahan di Kabupaten Situbondo,"Berikut adalah daftar kecamatan dan kelurahan/desa di Kabupaten Situbondo, Provinsi Jawa Timur, Indonesia. Kabupaten Situbondo terdiri dari 17 kecamatan, 4 kelurahan, dan 132 desa (dari total 666 kecamatan, 777 kelurahan, dan 7.724 desa di Jawa Timur). Pada tahun 2017, jumlah penduduknya mencapai 681.280 jiwa dengan luas wilayah 1.669,87 km² dan sebaran penduduk 408 jiwa/km².[1]",Berapa jumlah kecamatan di Kabupaten Situbondo?,17,140
Konoe Fumimaro,"Pangeran Konoe berhasil melobi agar dirinya diikutsertakan dalam delegasi Jepang yang dikirim ke Konferensi Perdamaian Paris 1919. Pada tahun 1918, sebelum berangkat ke Versailles, ia menerbitkan sebuah esai berjudul Reject the Anglo-American-Centered Peace (Tolak Perdamaian Inggris-Amerika Sentris). Setelah diterjemahkan oleh wartawan Amerika Thomas Franklin Fairfax Millard, penasihat politik Jepang Saionji Kinmochi menulis bantahan dalam jurnal Millard's Review.[1]",Kapan Pangeran Fumimaro Konoe melibatkan diri dalam politik?,1919,125
Siti Aisyah We Tenriolle,"BF Matthes menerbitkan transliterasi La Galigo dalam aksara Bugis dan terjemahan bahasa Belanda dalam buku: Boeginesche Chrestomathie jilid II tahun 1872.[4] Aisyah mempunyai peranan yang sangat dominan, kemampuannya dalam membaca dan memahami bahasa Bugis kuno dalam bait-bait epos La Galigo yang tersusun dalam 300,000 larik telah mempermudah pekerjaan BF Matthes dalam menerbitkan buku.[4] Karya terjemahan Siti Aisyah We Tenriolle kini disimpan di Universitas Leiden, Belanda dan menjadi rujukan penilitian mengenai wiracerita terpanjang di dunia.[4] Hingga kini Siti Aisyah We Tenriolle, BF Matthes dan ibunda Aisyah menjadi pahlawan pelestari sastra lokal Bugis.[4]",Apa peran penting yang pernah dilakukan Siti Aisyah We Tenriolle?,"kemampuannya dalam membaca dan memahami bahasa Bugis kuno dalam bait-bait epos La Galigo yang tersusun dalam 300,000 larik telah mempermudah pekerjaan BF Matthes dalam menerbitkan buku",204
